Wizards.mp3
true
Trans Siberian Orchestra - Wizards of Winter
Classic
108508	8		 Guitar Riff 2
108598		8	
108703	2,7,5,8	1,6,4	 Guitar Riff 2 [V2]
108793		8	
108873	8		 Guitar Riff 2
108963		8	
109210	3,1,6	2,7,5	 [VERSE 02]
109327	8		 Guitar Riff 2
109417		8	
109514	4,2,7,8	3,1,6	 Guitar Riff 2 [V2]
109604		8	
109702	8		 Guitar Riff 2
109792		8	
110021	5,3,1	4,2,7	 [VERSE 02]
110125	8		 Guitar Riff 2
110215		8	
110311	6,4,2,8	5,3,1	 Guitar Riff 2 [V2]
110401		8	
110838	7,5,3	6,4,2	 [VERSE 02]
110935	8		 Guitar Riff 2
111025		8	
111114	1,6,4,8	7,5,3	 Guitar Riff 2 [V2]
111204		8	
111315	8		 Guitar Riff 2
111405		8	
111650	2,7,5	1,6,4	 [VERSE 02]
111773	8		 Guitar Riff 2
111863		8	
111959	3,1,6,8	2,7,5	 Guitar Riff 2 [V2]
112049		8	
112143	8		 Guitar Riff 2
112233		8	
112449	4,2,7	3,1,6	 [VERSE 02]
112541	8		 Guitar Riff 2
112631		8	
112734	5,3,1,8	4,2,7	 Guitar Riff 2 [V2]
112824		8	
112911	8		 Guitar Riff 2
113001		8	
113250	6,4,2	5,3,1	 [VERSE 02]
113372	8		 Guitar Riff 2
113462		8	
113554	8		 Guitar Riff 2
113644		8	
113650	7,5,3	6,4,2	 [VERSE 02]
113751	8		 Guitar Riff 2
113841		8	
114058	1,6,4	7,5,3	 [VERSE 02]
114159	8		 Guitar Riff 2
114249		8	
114354	2,7,5,8	1,6,4	 Guitar Riff 2 [V2]
114444		8	
114554	8		 Guitar Riff 2
114644		8	
114870	3,1,6	2,7,5	 [VERSE 02]
114979	8		 Guitar Riff 2
115069		8	
115167	4,2,7,8	3,1,6	 Guitar Riff 2 [V2]
115257		8	
115351	8		 Guitar Riff 2
115441		8	
115658	5,3,1	4,2,7	 [VERSE 02]
115774	8		 Guitar Riff 2
115864		8	
